drug_id,title,source,year,link,tier,notes,quality
lidocaine,Lidocaine infusion for postoperative pain management: a meta-analysis,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34058123/,Supportive,Meta-analysis supports perioperative lidocaine infusion for reducing opioid requirements and improving recovery.,
lidocaine,Topical lidocaine for neuropathic pain: a randomized controlled trial,ClinicalTrials.gov,2023,https://clinicaltrials.gov/study/NCT05234563,Investigational,Ongoing trial evaluating high-concentration lidocaine patches for diabetic neuropathy. Results pending.,
aspirin,Aspirin for the primary prevention of cardiovascular events,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34170647/,Approved,FDA-approved for secondary prevention. Primary prevention remains controversial with updated guidelines.,
aspirin,Aspirin for colorectal cancer prevention: long-term follow-up of randomized trials,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32876675/,Supportive,Long-term data from cardiovascular trials suggest reduced colorectal cancer risk. Mechanistic rationale via COX-2 inhibition.,
aspirin,Low-dose aspirin and preeclampsia prevention: a systematic review,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35013901/,Supportive,USPSTF recommends low-dose aspirin for preeclampsia prevention in high-risk pregnancies. Well-supported by evidence.,
aspirin,Aspirin in Alzheimer's disease prevention: current evidence and future directions,PubMed,2023,https://pubmed.ncbi.nlm.nih.gov/37058123/,Investigational,Mixed observational data. Large randomized trials (ASPREE) showed no benefit and increased bleeding risk. Not recommended.,
propranolol,Propranolol for hypertension: efficacy and safety,PubMed,2020,https://pubmed.ncbi.nlm.nih.gov/32109023/,Approved,Non-selective beta-blocker with long-established use in cardiovascular conditions.,
propranolol,Propranolol for post-traumatic stress disorder: a systematic review,PubMed,2021,https://pubmed.ncbi.nlm.nih.gov/34058123/,Investigational,Early evidence for preventing PTSD when administered after trauma. Mechanistic rationale via memory consolidation modulation. Requires validation.,
propranolol,Beta-blockers and anxiety disorders: a meta-analysis,PubMed,2022,https://pubmed.ncbi.nlm.nih.gov/35605624/,Supportive,Meta-analysis supports propranolol for performance anxiety and situational anxiety. Less effective for generalized anxiety.,
propranolol,Propranolol for infantile hemangiomas: a randomized controlled trial,PubMed,2019,https://pubmed.ncbi.nlm.nih.gov/31060865/,Supportive,Well-documented off-label use in pediatric hemangiomas. Mechanism involves vasoconstriction and angiogenesis inhibition.,
